                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.43004,                0.26817,                0.99793,                0.98578,                0.98115,                0.99405,                0.96089,                0.26205,                0.14424,                 0.7933,              0.0047035,              0.0047035,              0.0047035
                    109,                0.43046,                0.26779,                0.99956,                0.98693,                0.98115,                0.99407,                0.96113,                0.26092,                0.14393,                0.79282,               0.004654,               0.004654,               0.004654
                    110,                0.42915,                0.26669,                0.99594,                0.98737,                0.98029,                0.99406,                0.96098,                0.26026,                0.14363,                0.79259,              0.0046045,              0.0046045,              0.0046045
                    111,                0.42404,                0.26512,                0.99554,                0.98878,                0.98151,                0.99403,                0.96137,                0.25925,                0.14352,                 0.7921,               0.004555,               0.004555,               0.004555
                    112,                 0.4245,                0.26467,                 0.9922,                0.98878,                0.98189,                0.99401,                0.96141,                0.25806,                0.14334,                0.79173,              0.0045055,              0.0045055,              0.0045055
                    113,                0.42299,                0.26456,                0.99495,                0.98709,                0.98259,                0.99402,                0.96139,                0.25725,                0.14334,                0.79144,               0.004456,               0.004456,               0.004456
                    114,                0.42079,                0.25987,                0.99196,                0.98693,                0.98286,                0.99401,                0.96156,                0.25636,                0.14324,                0.79115,              0.0044065,              0.0044065,              0.0044065
                    115,                0.42119,                0.26374,                0.99337,                0.98608,                0.98286,                0.99403,                 0.9627,                0.25542,                 0.1421,                0.79069,               0.004357,               0.004357,               0.004357
                    116,                0.41855,                0.26099,                0.99396,                0.98596,                0.98286,                0.99399,                 0.9636,                0.25418,                0.14171,                 0.7902,              0.0043075,              0.0043075,              0.0043075
                    117,                0.41416,                0.25908,                0.99222,                0.98625,                 0.9833,                0.99398,                0.96281,                 0.2534,                 0.1415,                0.78987,               0.004258,               0.004258,               0.004258
                    118,                0.41789,                0.25971,                0.99262,                0.98594,                0.98286,                0.99395,                0.96232,                0.25262,                0.14161,                0.78968,              0.0042085,              0.0042085,              0.0042085
                    119,                0.40849,                0.25665,                0.98877,                0.98645,                0.98286,                0.99394,                0.96274,                0.25152,                0.14074,                0.78956,               0.004159,               0.004159,               0.004159
                    120,                0.41099,                0.25886,                0.98696,                0.98578,                0.98201,                0.99379,                0.96309,                0.25077,                0.14133,                0.78921,              0.0041095,              0.0041095,              0.0041095
                    121,                0.40769,                0.25508,                0.98655,                0.98602,                0.98201,                0.99374,                0.96304,                0.25001,                0.14049,                0.78877,                0.00406,                0.00406,                0.00406
                    122,                0.40715,                0.25471,                0.98718,                0.98748,                0.98201,                0.99373,                0.96305,                0.24894,                0.14066,                0.78834,              0.0040105,              0.0040105,              0.0040105
                    123,                0.40385,                0.25092,                0.98686,                0.98772,                0.98201,                0.99371,                0.96287,                0.24822,                0.14037,                0.78794,               0.003961,               0.003961,               0.003961
                    124,                0.40005,                0.24746,                0.98342,                0.98777,                0.98201,                0.99371,                0.96327,                0.24738,                0.13991,                0.78752,              0.0039115,              0.0039115,              0.0039115
                    125,                0.39987,                0.25185,                0.98426,                0.98836,                0.98201,                0.99373,                0.96346,                0.24664,                 0.1392,                0.78729,               0.003862,               0.003862,               0.003862
                    126,                0.39741,                0.24721,                0.98134,                0.98796,                0.98201,                0.99372,                0.96361,                0.24588,                0.13839,                0.78699,              0.0038125,              0.0038125,              0.0038125
                    127,                0.39507,                0.24751,                0.98722,                0.98741,                0.98201,                0.99374,                0.96394,                0.24501,                 0.1385,                0.78658,               0.003763,               0.003763,               0.003763
                    128,                0.39449,                0.24488,                0.97982,                  0.987,                0.98201,                0.99375,                0.96361,                0.24388,                0.13848,                0.78599,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.3923,                0.24565,                0.97935,                0.98773,                0.98201,                0.99375,                0.96476,                0.24322,                0.13837,                0.78562,               0.003664,               0.003664,               0.003664
                    130,                0.39385,                0.24532,                0.97618,                0.98651,                0.98286,                0.99373,                0.96405,                0.24218,                0.13784,                0.78509,              0.0036145,              0.0036145,              0.0036145
                    131,                0.38732,                0.24123,                0.97376,                0.98794,                0.98237,                0.99375,                0.96509,                0.24143,                0.13733,                0.78461,               0.003565,               0.003565,               0.003565
                    132,                0.39107,                0.24336,                0.97735,                0.98793,                0.98223,                0.99376,                0.96526,                0.24063,                0.13628,                0.78427,              0.0035155,              0.0035155,              0.0035155
                    133,                0.38853,                0.24219,                0.97437,                0.98793,                0.98169,                0.99378,                0.96543,                 0.2397,                0.13593,                0.78401,               0.003466,               0.003466,               0.003466
                    134,                0.38726,                0.23951,                0.97427,                0.98792,                0.98144,                0.99378,                0.96555,                0.23884,                0.13521,                0.78362,              0.0034165,              0.0034165,              0.0034165
                    135,                0.38312,                0.23878,                 0.9739,                0.98895,                0.98115,                0.99378,                0.96605,                0.23782,                0.13475,                0.78319,               0.003367,               0.003367,               0.003367
                    136,                0.38287,                0.23759,                 0.9668,                0.98871,                0.98115,                0.99381,                0.96663,                0.23706,                0.13452,                0.78301,              0.0033175,              0.0033175,              0.0033175
                    137,                0.37966,                0.23471,                0.97103,                0.98707,                0.98159,                0.99383,                0.96623,                0.23642,                 0.1343,                0.78293,               0.003268,               0.003268,               0.003268
                    138,                0.37696,                0.23566,                0.97044,                0.98707,                0.98159,                0.99382,                0.96653,                0.23584,                0.13351,                0.78281,              0.0032185,              0.0032185,              0.0032185
                    139,                0.37538,                0.23308,                0.96904,                0.98708,                0.98164,                0.99384,                0.96675,                0.23515,                0.13378,                0.78248,               0.003169,               0.003169,               0.003169
                    140,                0.37251,                  0.232,                0.96642,                0.98708,                0.98183,                0.99384,                  0.967,                0.23474,                0.13375,                0.78242,              0.0031195,              0.0031195,              0.0031195
                    141,                0.37799,                0.23619,                0.96924,                0.98746,                0.98115,                0.99389,                 0.9672,                0.23366,                0.13262,                0.78212,                0.00307,                0.00307,                0.00307
                    142,                0.37149,                0.23026,                0.96692,                0.98792,                0.98127,                0.99389,                0.96735,                  0.233,                 0.1323,                0.78196,              0.0030205,              0.0030205,              0.0030205
                    143,                0.37093,                0.23053,                0.96615,                0.98822,                0.98115,                 0.9939,                0.96761,                0.23225,                0.13223,                0.78157,               0.002971,               0.002971,               0.002971
                    144,                0.36815,                 0.2299,                0.96227,                0.98878,                0.98137,                0.99392,                0.96772,                 0.2315,                0.13175,                0.78129,              0.0029215,              0.0029215,              0.0029215
                    145,                0.36392,                0.22591,                0.95996,                0.98792,                0.98139,                 0.9939,                0.96793,                0.23086,                0.13189,                0.78115,               0.002872,               0.002872,               0.002872
                    146,                0.36468,                0.22635,                 0.9634,                0.98793,                0.98178,                0.99395,                0.96791,                0.23003,                0.13126,                0.78045,              0.0028225,              0.0028225,              0.0028225
                    147,                0.36186,                0.22534,                0.96096,                0.98792,                0.98134,                0.99396,                0.96764,                0.22931,                0.13118,                0.78005,               0.002773,               0.002773,               0.002773
                    148,                0.35868,                0.22329,                0.95639,                0.98772,                0.98115,                0.99395,                0.96777,                0.22845,                0.13104,                0.77961,              0.0027235,              0.0027235,              0.0027235
                    149,                0.35778,                0.22197,                0.95679,                0.98707,                0.98118,                0.99395,                0.96776,                0.22787,                0.13111,                 0.7795,               0.002674,               0.002674,               0.002674
                    150,                0.35725,                0.22165,                0.95987,                0.98877,                0.98095,                0.99395,                0.96847,                0.22696,                0.13048,                0.77916,              0.0026245,              0.0026245,              0.0026245
                    151,                0.35125,                0.21725,                0.95389,                0.98793,                0.98152,                0.99394,                0.96863,                0.22614,                0.13012,                0.77899,               0.002575,               0.002575,               0.002575
                    152,                0.35228,                0.21787,                0.95613,                 0.9877,                0.98115,                0.99397,                0.96859,                0.22559,                0.13045,                0.77874,              0.0025255,              0.0025255,              0.0025255
                    153,                0.34958,                0.21626,                 0.9545,                0.98869,                0.98115,                0.99396,                0.96865,                0.22487,                0.13001,                0.77857,               0.002476,               0.002476,               0.002476
                    154,                0.34679,                0.21484,                0.95109,                0.98539,                0.98372,                0.99395,                 0.9684,                0.22414,                0.12942,                0.77824,              0.0024265,              0.0024265,              0.0024265
                    155,                0.34777,                0.21704,                0.95364,                0.98815,                0.98029,                0.99395,                0.96883,                0.22325,                0.12892,                 0.7781,               0.002377,               0.002377,               0.002377
                    156,                 0.3422,                0.21451,                0.95236,                0.98826,                0.98115,                0.99396,                0.96867,                0.22256,                0.12854,                0.77779,              0.0023275,              0.0023275,              0.0023275
